"restaurant_id","restaurant_name","total_revenue"
252,"Mumbai Masala 252",9088.22
195,"Flavours of India 195",4410.94
55,"Masala Magic 55",7137.17
155,"Delhi Darbar 155",7374.86
154,"The Curry Leaf 154",4112.639999999999
164,"Mughal Mahal 164",6519.98
167,"Taste of Punjab 167",5153.389999999999
215,"Dragon Wok 215",8108.6500000000015
56,"Kolkata Kitchen 56",8725.18
205,"Mughal Mahal 205",4586.87
60,"Chai & Chat 60",6008.48
248,"Taste of Punjab 248",4061.2
35,"Flavours of India 35",6658.59
85,"The Hungry Panda 85",6110.709999999999
237,"Mughal Mahal 237",7457.34
203,"Golden Spoon 203",5692.39
200,"Chai & Chat 200",9419.76
296,"Bombay Bistro 296",7841.98
135,"Mumbai Masala 135",6176.7
201,"Biryani House 201",8083.049999999999
71,"Saffron Delight 71",11001.43
285,"Biryani House 285",7662.930000000001
259,"Urban Tadka 259",6866.200000000001
251,"Flavours of India 251",6030.77
127,"Tandoori Nights 127",4727.45
220,"Dragon Wok 220",4343.35
292,"Burger Factory 292",6170.299999999999
233,"Punjabi Dhaba 233",6567.24
112,"Punjabi Dhaba 112",8374.05
24,"Delhi Darbar 24",5863.549999999999
226,"Mumbai Masala 226",5377.349999999999
74,"Golden Spoon 74",7271.419999999999
284,"Chai & Chat 284",7649.69
159,"Spice Villa 159",4300.69
84,"Dragon Wok 84",5886.62
86,"The Food Studio 86",8230.369999999999
172,"Chutney Express 172",6740.169999999998
40,"Pizza Junction 40",5333.85
117,"Masala Magic 117",4704.6
242,"Dragon Wok 242",7591.44
92,"Burger Factory 92",13162.58
145,"South Spice 145",5493.93
150,"Rasoi Ghar 150",4845.139999999999
278,"Curry Kingdom 278",4661.41
158,"Dragon Wok 158",7537.08
73,"Kolkata Kitchen 73",5650.35
212,"Saffron Delight 212",10926.5
67,"Golden Spoon 67",5049.710000000001
168,"Annapurna Bhavan 168",7496.389999999999
300,"Annapurna Bhavan 300",6956.080000000001
47,"Caf̩ Masaledar 47",4406.02
263,"Rasoi Ghar 263",4130.070000000001
63,"Masala Magic 63",6786.59
44,"Golden Spoon 44",5708.91
255,"Golden Spoon 255",4782.219999999999
16,"Taste of Punjab 16",4522.62
91,"Curry Kingdom 91",6016.86
181,"Delhi Darbar 181",4215.27
52,"Dragon Wok 52",6141.66
250,"Rasoi Ghar 250",4065.79
115,"Annapurna Bhavan 115",4588.65
291,"South Spice 291",6539.18
193,"The Curry Leaf 193",5691.44
174,"Delhi Darbar 174",7169.820000000001
223,"Annapurna Bhavan 223",5209.31
293,"Golden Spoon 293",6241.83
88,"Burger Factory 88",6297.509999999999
230,"The Curry Leaf 230",5974.01
41,"Golden Spoon 41",11065.4
267,"Taste of Punjab 267",5697.45
213,"Pizza Junction 213",9479.48
136,"Punjabi Dhaba 136",6686.82
142,"The Curry Leaf 142",6948.59
46,"The Hungry Panda 46",5077.01
207,"Pizza Junction 207",4200.31
146,"Mumbai Masala 146",7868.080000000001
236,"Burger Factory 236",5930.620000000001
288,"Urban Tadka 288",12386.44
176,"Delhi Darbar 176",13877.56
133,"Biryani House 133",5538.419999999999
161,"Pizza Junction 161",8906.7
269,"Urban Tadka 269",6514.41
184,"Dragon Wok 184",6702.09
238,"Masala Magic 238",4949.199999999999
140,"Golden Spoon 140",4557.620000000001
214,"Chai & Chat 214",5223.16
77,"The Food Studio 77",5228.25
143,"Royal Tandoor 143",5409.79
232,"Caf̩ Masaledar 232",4988.42
3,"South Spice 3",5731.049999999999
103,"The Curry Leaf 103",7027.01
147,"The Food Studio 147",9413.07
104,"The Food Studio 104",6095.200000000001
96,"Mumbai Masala 96",5772.33
239,"Biryani House 239",4390.06
21,"Masala Magic 21",4496.29
274,"Taste of Punjab 274",4711.2300000000005
218,"Annapurna Bhavan 218",6292.83
276,"Punjabi Dhaba 276",7791.88
69,"Masala Magic 69",6266.34
118,"Chutney Express 118",4286.45
179,"Curry Kingdom 179",5274.469999999999
295,"Spice Villa 295",8926.39
94,"The Food Studio 94",4605.59
122,"Kolkata Kitchen 122",5891.619999999999
93,"South Spice 93",6982.750000000001
243,"South Spice 243",5328.49
196,"Punjabi Dhaba 196",6271.64
156,"Pizza Junction 156",7956.839999999999
120,"Delhi Darbar 120",7763.58
31,"Bombay Bistro 31",4735.750000000001
99,"The Food Studio 99",4317.79
249,"Golden Spoon 249",7541.990000000001
286,"Urban Tadka 286",4587.98
219,"South Spice 219",5813.48
95,"Rasoi Ghar 95",4502.08
148,"Pizza Junction 148",4484.77
253,"Spice Villa 253",8782.96
90,"The Food Studio 90",6476.27
34,"South Spice 34",5793.369999999999
79,"Dragon Wok 79",6104.4400000000005
268,"The Hungry Panda 268",5905.06
12,"Curry Kingdom 12",6136.879999999999
228,"Pizza Junction 228",5537.71
244,"Mumbai Masala 244",4171.860000000001
4,"Royal Tandoor 4",4359.09
177,"Chutney Express 177",6648.56
54,"Royal Tandoor 54",5206.84
25,"Chai & Chat 25",4910.43
297,"Dragon Wok 297",4564.41
126,"Annapurna Bhavan 126",4305.799999999999
