"restaurant_id","restaurant_name","order_id","Late_Deliveries"
252,"Mumbai Masala 252",1,55
138,"Biryani House 138",3,60
68,"Bombay Bistro 68",5,47
198,"Delhi Darbar 198",7,46
164,"Mughal Mahal 164",14,60
280,"Taste of Punjab 280",16,55
194,"Annapurna Bhavan 194",19,58
266,"Taste of Punjab 266",23,56
237,"Mughal Mahal 237",29,60
203,"Golden Spoon 203",30,59
135,"Mumbai Masala 135",33,53
71,"Saffron Delight 71",37,47
28,"Dragon Wok 28",39,51
259,"Urban Tadka 259",40,46
251,"Flavours of India 251",41,56
17,"Chai & Chat 17",42,54
188,"Rasoi Ghar 188",44,48
127,"Tandoori Nights 127",45,48
149,"Golden Spoon 149",49,52
251,"Flavours of India 251",52,60
233,"Punjabi Dhaba 233",54,57
112,"Punjabi Dhaba 112",56,51
281,"Masala Magic 281",57,56
24,"Delhi Darbar 24",58,49
226,"Mumbai Masala 226",59,47
85,"The Hungry Panda 85",61,60
116,"Curry Kingdom 116",63,48
217,"Taste of Punjab 217",64,50
74,"Golden Spoon 74",66,56
284,"Chai & Chat 284",70,58
155,"Delhi Darbar 155",71,58
204,"Kolkata Kitchen 204",76,60
206,"Curry Kingdom 206",77,54
30,"Mumbai Masala 30",80,47
84,"Dragon Wok 84",82,53
172,"Chutney Express 172",84,53
40,"Pizza Junction 40",85,52
284,"Chai & Chat 284",89,46
150,"Rasoi Ghar 150",93,59
158,"Dragon Wok 158",96,53
212,"Saffron Delight 212",98,49
208,"Golden Spoon 208",107,55
255,"Golden Spoon 255",112,47
152,"Urban Tadka 152",114,55
71,"Saffron Delight 71",115,53
16,"Taste of Punjab 16",118,50
278,"Curry Kingdom 278",123,51
291,"South Spice 291",131,58
174,"Delhi Darbar 174",140,50
151,"The Curry Leaf 151",144,58
135,"Mumbai Masala 135",148,56
44,"Golden Spoon 44",149,54
284,"Chai & Chat 284",150,53
258,"Chai & Chat 258",152,56
267,"Taste of Punjab 267",156,59
213,"Pizza Junction 213",157,56
136,"Punjabi Dhaba 136",159,51
142,"The Curry Leaf 142",160,59
117,"Masala Magic 117",163,48
265,"Burger Factory 265",165,52
207,"Pizza Junction 207",166,56
30,"Mumbai Masala 30",167,49
141,"Madras Cafe 141",168,52
124,"Taste of Punjab 124",169,58
236,"Burger Factory 236",175,49
300,"Annapurna Bhavan 300",176,52
